sampleID,project,turfID,rep,site,temperature,precipitation,precip.level,temp.level,turf.treat,turf.treat.group,turf.origSite,origSite.precipLevel,origSite.tempLevel,colour,transcol
A01,Turfs,242 TT2 268,A,Veskre,8.666920677,3028.689529,4,2,Warmer,Transplant,Skjellingahaugen,4,1,1,red
A02,Turfs,252 TT2 550,B,Veskre,8.666920677,3028.689529,4,2,Warmer,Transplant,Skjellingahaugen,4,1,1,red
A03,Turfs,88 TT2 114,A,Hogsete,9.167493369,1356.20674,2,2,Warmer,Transplant,Lavisdalen,2,1,2,red
A04,Turfs,262 TT1 265,A,Veskre,8.666920677,3028.689529,4,2,Control,Control,Veskre,4,2,1,black
A05,Turfs,206 TT3 546,A,Veskre,8.666920677,3028.689529,4,2,Wetter,Transplant,Rambera,3,2,1,green
A06,Turfs,247 TT2D 264,C,Veskre,8.666920677,3028.689529,4,2,Warmer,Transplant,Skjellingahaugen,4,1,1,red
A07,Turfs,196 TT3 282,B,Veskre,8.666920677,3028.689529,4,2,Wetter,Transplant,Rambera,3,2,1,green
A08,Turfs,109 TT1 106,A,Hogsete,9.167493369,1356.20674,2,2,Control,Control,Hogsete,2,2,2,black
A09,Turfs,267 TT1 548,B,Veskre,8.666920677,3028.689529,4,2,Control,Control,Veskre,4,2,1,black
A10,Turfs,284 TT1 285,C,Veskre,8.666920677,3028.689529,4,2,Control,Control,Veskre,4,2,1,black
A11,Turfs,96 TT2 122,B,Hogsete,9.167493369,1356.20674,2,2,Warmer,Transplant,Lavisdalen,2,1,2,red
A12,Turfs,113 TT1 111,B,Hogsete,9.167493369,1356.20674,2,2,Control,Control,Hogsete,2,2,2,black
A13,Turfs,122 TT1 125,C,Hogsete,9.167493369,1356.20674,2,2,Control,Control,Hogsete,2,2,2,black
A14,Turfs,32 TT3 109,A,Hogsete,9.167493369,1356.20674,2,2,Wetter,Transplant,Alrust,1,2,2,green
A15,Turfs,39 TT3 113,B,Hogsete,9.167493369,1356.20674,2,2,Wetter,Transplant,Alrust,1,2,2,green
A16,Turfs,201 TT3D 269,C,Veskre,8.666920677,3028.689529,4,2,Wetter,Transplant,Rambera,3,2,1,green
B01,Turfs,1 TT2 28,A,Alrust,9.139258359,788.6471205,1,2,Warmer,Transplant,Ulvhaugen,1,1,3,red
B02,Turfs,28 TT1 30,A,Alrust,9.139258359,788.6471205,1,2,Control,Control,Alrust,1,2,3,black
B03,Turfs,84 TT2 108,C,Hogsete,9.167493369,1356.20674,2,2,Warmer,Transplant,Lavisdalen,2,1,2,red
B04,Turfs,12 TT3 98,A,Lavisdalen,6.454522029,1320.501902,2,1,Wetter,Transplant,Ulvhaugen,1,1,4,green
B05,Turfs,18 TT1 19,A,Ulvhaugen,6.16847806,596.3477788,1,1,Control,Control,Ulvhaugen,1,1,5,black
B06,Turfs,49 TT1 47,B,Alrust,9.139258359,788.6471205,1,2,Control,Control,Alrust,1,2,3,black
B07,Turfs,24 TT2 49,B,Alrust,9.139258359,788.6471205,1,2,Warmer,Transplant,Ulvhaugen,1,1,3,red
B08,Turfs,83 TT1 81,A,Lavisdalen,6.454522029,1320.501902,2,1,Control,Control,Lavisdalen,2,1,4,black
B09,Turfs,16 TT2 42,C,Alrust,9.139258359,788.6471205,1,2,Warmer,Transplant,Ulvhaugen,1,1,3,red
B10,Turfs,98 TT1 97,B,Lavisdalen,6.454522029,1320.501902,2,1,Control,Control,Lavisdalen,2,1,4,black
B11,Turfs,3 TT1 1,B,Ulvhaugen,6.16847806,596.3477788,1,1,Control,Control,Ulvhaugen,1,1,5,black
B12,Turfs,48 TT3 121,C,Hogsete,9.167493369,1356.20674,2,2,Wetter,Transplant,Alrust,1,2,2,green
B13,Turfs,43 TT1 44,C,Alrust,9.139258359,788.6471205,1,2,Control,Control,Alrust,1,2,3,black
B14,Turfs,19 TT3 83,B,Lavisdalen,6.454522029,1320.501902,2,1,Wetter,Transplant,Ulvhaugen,1,1,4,green
B15,Turfs,92 TT1 93,C,Lavisdalen,6.454522029,1320.501902,2,1,Control,Control,Lavisdalen,2,1,4,black
B16,Turfs,13 TT1 14,C,Ulvhaugen,6.16847806,596.3477788,1,1,Control,Control,Ulvhaugen,1,1,5,black
C01,Turfs,161 TT3 253,A,Skjellingahaugen,6.576240022,2724.854344,4,1,Wetter,Transplant,Gudmedalen,3,1,6,green
C02,Turfs,200 TT1 196,A,Rambera,8.767480114,1848.17079,3,2,Control,Control,Rambera,3,2,7,black
C03,Turfs,241 TT1 242,A,Skjellingahaugen,6.576240022,2724.854344,4,1,Control,Control,Skjellingahaugen,4,1,6,black
C04,Turfs,112 TT3 199,A,Rambera,8.767480114,1848.17079,3,2,Wetter,Transplant,Hogsete,2,2,7,green
C05,Turfs,166 TT3 241,B,Skjellingahaugen,6.576240022,2724.854344,4,1,Wetter,Transplant,Gudmedalen,3,1,6,green
C06,Turfs,530 TT1 531,B,Rambera,8.767480114,1848.17079,3,2,Control,Control,Rambera,3,2,7,black
C07,Turfs,121 TT3 192,B,Rambera,8.767480114,1848.17079,3,2,Wetter,Transplant,Hogsete,2,2,7,green
C08,Turfs,173 TT1 175,A,Gudmedalen,5.866376294,1924.597184,3,1,Control,Control,Gudmedalen,3,1,8,black
C09,Turfs,169 TT1 170,B,Gudmedalen,5.866376294,1924.597184,3,1,Control,Control,Gudmedalen,3,1,8,black
C10,Turfs,89 TT3 509,A,Gudmedalen,5.866376294,1924.597184,3,1,Wetter,Transplant,Lavisdalen,2,1,8,green
C11,Turfs,117 TT3 530,C,Rambera,8.767480114,1848.17079,3,2,Wetter,Transplant,Hogsete,2,2,7,green
C12,Turfs,162 TT2 200,A,Rambera,8.767480114,1848.17079,3,2,Warmer,Transplant,Gudmedalen,3,1,7,red
C13,Turfs,80 TT3 169,B,Gudmedalen,5.866376294,1924.597184,3,1,Wetter,Transplant,Lavisdalen,2,1,8,green
C14,Turfs,193 TT1 191,C,Rambera,8.767480114,1848.17079,3,2,Control,Control,Rambera,3,2,7,black
C15,Turfs,170 TT2 195,B,Rambera,8.767480114,1848.17079,3,2,Warmer,Transplant,Gudmedalen,3,1,7,red
C16,Turfs,253 TT1 252,B,Skjellingahaugen,6.576240022,2724.854344,4,1,Control,Control,Skjellingahaugen,4,1,6,black
C17,Turfs,4 TT3 91,C,Lavisdalen,6.454522029,1320.501902,2,1,Wetter,Transplant,Ulvhaugen,1,1,4,green
C18,Turfs,501 TT1 166,C,Gudmedalen,5.866376294,1924.597184,3,1,Control,Control,Gudmedalen,3,1,8,black
C19,Turfs,81 TT3 168,C,Gudmedalen,5.866376294,1924.597184,3,1,Wetter,Transplant,Lavisdalen,2,1,8,green
C20,Turfs,502 TT2 527,C,Rambera,8.767480114,1848.17079,3,2,Warmer,Transplant,Gudmedalen,3,1,7,red
C21,Turfs,238 TT1 237,C,Skjellingahaugen,6.576240022,2724.854344,4,1,Control,Control,Skjellingahaugen,4,1,6,black
